Depmap ID,Expression Public 24Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000255,4.6604951318885135,LMSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000256,4.631104282365877,COV318,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000257,2.1243281350022016,CORL279,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000258,1.565597175854225,DU4475,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000259,0.3895668117627256,KELLY,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000260,1.510961919277379,SKNAS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000261,3.1984941536390834,RERFLCAI,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000262,4.60821785302146,UOK101,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000263,5.89384755813292,KASUMI1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000264,3.4867143730307024,CALU6,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000265,0.9855004303048848,KP4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000266,4.302319050948834,SNU213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000267,8.928577591899563,HDLM2,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000268,2.942983598187102,SNU245,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000269,4.028569152196771,AM38,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000270,4.386810946472217,HPAC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000271,0.2016338611696504,SUDHL10,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000272,4.594548549550354,SLR24,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000273,6.5963388642052,SF539,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000274,5.371907297595154,HS852T,Melanoma,Skin,Melanoma
ACH-000275,7.135452784185173,HS834T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000276,2.0531113364595623,HCC38,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000277,0.5945485495503542,HCC1419,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000278,6.972003303808356,COV362,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000279,4.765004246250036,EWS502,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000280,5.516960659898823,SNU840,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000281,4.0916998341368105,KP2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000282,1.8678964639926547,NCIH1755,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000283,3.553360503335328,A1207,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000284,6.55704241526372,HS840T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000285,2.8659188145522125,TOLEDO,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000286,2.341985747228616,SNU1033,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000287,2.543495883425772,NUDUL1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000288,2.250961573533219,BT549,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000289,5.320123598040615,SNU466,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000290,2.794935662803536,NCIH209,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000291,4.521050736900963,OV90,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000292,0.2387868595871165,NCIH841,SMARCA4-deficient undifferentiated tumor,Lung,SMARCA4-deficient undifferentiated tumor
ACH-000293,4.824767853143294,KLE,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000294,5.811471030529836,NB4,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000295,5.211790976252541,EM2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000296,1.9634741239748856,OUMS23,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000297,0.9560566524124028,NCIH889,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000298,4.7554217347342425,NCIH2029,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000299,5.85049941375812,HNT34,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000300,4.97315203787724,SLR25,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000301,6.919340082442012,LAMA84,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000302,3.6005076453457856,SNU1077,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000303,2.5084286525318573,SNU5,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000304,5.567423757707283,WM115,Melanoma,Skin,Melanoma
ACH-000305,4.38543103719352,ECGI10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000306,6.489286022625876,HS688AT,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000307,4.797012977836145,PK1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000308,7.308794067216477,EFO21,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000310,0.2141248053528473,IMR32,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000311,4.718635616271338,NCIH2122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000312,2.2570106182060234,SKNBE2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000313,6.4087118610294285,KMRC3,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000314,4.408032466130653,HCC2108,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000315,0.2630344058337938,KARPAS422,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000316,1.9855004303048849,SNU886,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000317,2.8094144442358986,TUHR14TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000318,3.8379432418910273,TE10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000319,4.92837032301897,MPP89,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000320,3.817623257511431,PSN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000321,7.280121179196512,MOLM6,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000322,4.36737106564853,HT144,Melanoma,Skin,Melanoma
ACH-000323,5.247547806890298,42MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000324,0.4436066514756145,JHOC5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000325,4.308156975114762,SNU620,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000326,4.665051614289214,JURLMK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000327,0.1634987322828795,NCIH1395,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000328,6.022145842870176,LN215,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000329,2.8875252707415875,CCFSTTG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000330,3.399171093819823,EFM19,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000331,1.372952097911829,ISTMES2,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000332,4.70984201927331,YAPC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000333,4.292045492492862,JHOM2B,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000334,0.2509615735332187,DB,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000335,3.75702324650746,MSTO211H,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000336,6.730232357371662,OCIAML3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000337,4.7349805234358895,NCIH3122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000338,6.060479781407595,SR786,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000339,3.454175893185802,HCC461,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000340,5.669877160489095,HS870T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000341,0.8073549220576041,SKNFI,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000342,0.5945485495503542,CL14,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000343,1.3504972470841332,NCIH522,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000344,5.0798047546352585,SNU668,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000345,0.3448284969974411,KPNRTBM1,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000346,4.759155833800272,JVM3,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000347,3.5545888516776376,QGP1,Pancreatic Neuroendocrine Tumor,Pancreas,Pancreatic Neuroendocrine Tumor
ACH-000348,4.663913842115978,RPMI7951,Melanoma,Skin,Melanoma
ACH-000349,2.493134922305505,HCC1500,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000350,5.175923742063755,COLO678,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000351,5.514753498439753,MKN1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000352,3.9307373375628862,HCC1428,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000353,3.710393192170516,TE15,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000354,4.906890595608519,CAPAN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000355,0.5360529002402097,NCIH82,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000356,1.0772429989324606,MKN45,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000357,1.9411063109464315,JEKO1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000358,2.485426827170241,NCIH69,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000359,6.252476214135217,MG63,Osteosarcoma,Bone,Osteosarcoma
ACH-000360,1.1243281350022014,NCIH508,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000361,2.280956313831056,SKHEP1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000362,6.936637939002571,MOLM13,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000363,4.298658315564516,SKMM2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000364,2.327687364176047,U2OS,Osteosarcoma,Bone,Osteosarcoma
ACH-000365,0.2630344058337938,SUDHL4,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000366,0.3785116232537298,SKNDZ,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000367,3.588564737401352,NCIH226,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000368,4.107687869314374,SNU1105,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000369,6.362119166725657,MOLM16,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000370,4.9415758618182375,SNU626,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000371,0.070389327891398,RL,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000372,5.615004241635032,P12ICHIKAWA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000373,7.041878139955925,SKM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000374,5.620586410451877,HCC1143,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000375,3.3103401206121505,G402,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000376,4.241840183564671,SF295,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000377,5.29130885982897,SNU478,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000378,4.989139007368233,NCIH647,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000379,5.178316271701453,NCIH1781,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000380,3.0617761975866897,KMS12BM,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000381,3.631104282365877,T84,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000382,1.811471030529836,CORL24,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000383,2.0738202332916718,OE33,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000384,4.457462964648552,SW780,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000385,6.627898615871748,SKRC52,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000386,6.003827078111476,KG1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000387,6.79584485619723,TF1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000388,0.3448284969974411,NUDHL1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000389,4.710393192170516,H4,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000390,4.339850002884624,LUDLU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000391,6.735928284277653,MHHES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000392,3.19377174339668,CALU3,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000393,3.04788732939655,HLF,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000394,0.7824085649273732,NCIH2081,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000395,0.3785116232537298,NCIH520,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000396,2.495695162624069,J82,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000397,3.821710215034674,TEN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000398,0.7048719644563528,RI1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000399,5.1622906135458,NCIH2196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000400,3.1292830169449664,SKCO1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000401,4.706530552538117,COLO800,Melanoma,Skin,Melanoma
ACH-000402,0.1763227726404628,BL70,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000403,4.327687364176047,NCIH747,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000404,5.185470146066942,K029AX,Melanoma,Skin,Melanoma
ACH-000405,0.0976107966264223,MEC1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000406,6.019701914442548,U937,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000407,4.380590934265922,SNU685,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000408,4.806324057390029,TE5,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000409,3.882643049361841,OVSAHO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000410,1.996388746447621,SAOS2,Osteosarcoma,Bone,Osteosarcoma
ACH-000411,1.3785116232537298,769P,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000412,3.5993177936982264,SNU1197,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000413,6.208283138412519,HS739T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000414,2.8196681834964554,NCIH1944,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000415,2.823749360308273,BICR6,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000416,2.4828482830684653,NCIH838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000417,4.522934560943456,PANC0813,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000418,4.543495883425772,SW1353,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000419,6.698357405957285,KMS28BM,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000420,0.4854268271702416,SNU449,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000421,5.942749070828886,SW837,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000422,5.208673319629471,SNU475,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000423,5.084489524936252,SKMEL3,Melanoma,Skin,Melanoma
ACH-000424,4.9354597478052895,TC71,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000425,4.265286857565172,UACC62,Melanoma,Skin,Melanoma
ACH-000427,4.100977647724821,NCIN87,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000428,3.6217588567097327,UO31,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000429,4.628190334615213,A704,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000430,7.461724991502711,TYKNU,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000431,1.1243281350022014,NCIH1694,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000432,1.8875252707415875,BV173,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000433,3.811471030529836,CAKI1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000434,4.24031432933371,NCIH1915,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000435,5.203201156316611,EFE184,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000436,5.913846824263042,OCIMY7,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000437,4.405311682597445,SW1088,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000438,4.929317594911761,LU65,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000439,5.7805725742630365,ME1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000440,0.8875252707415875,CA46,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000441,5.559491813205038,SH4,Melanoma,Skin,Melanoma
ACH-000442,4.745237332129749,RERFLCSQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000443,5.139960569545456,OVKATE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000444,3.734438666137167,LU99,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000445,3.876762490781555,KNS60,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000446,4.299391206126829,KPNSI9S,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000447,7.384999544730041,NCIH2228,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000448,3.704871964456353,NCIH1666,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000449,4.008092420948722,MESSA,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000450,3.4620523187964327,MELHO,Melanoma,Skin,Melanoma
ACH-000451,5.077670274232752,NCIH2085,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000452,3.845991770664573,TE8,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000453,0.5655971758542251,MOLP2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000454,4.842978831788326,HCC95,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000455,3.3088850574117634,LN428,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000456,5.733896605247495,BCPAP,Poorly Differentiated Thyroid Cancer,Thyroid,Poorly Differentiated Thyroid Cancer
ACH-000457,3.736604875314249,CAL54,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000458,2.871843648509318,CJM,Melanoma,Skin,Melanoma
ACH-000459,4.532316959332765,TUHR10TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000460,2.8257856274647914,SNU8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000461,0.9107326619029126,SNU1196,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000462,2.937344392150232,NALM1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000463,2.070389327891398,NCIH460,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000464,3.2720231890610485,CAS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000465,3.776103988073164,SKMEL1,Melanoma,Skin,Melanoma
ACH-000466,1.3785116232537298,SNU216,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000467,4.305970520984387,HCC56,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000468,3.7897292513757694,PK45H,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000469,4.9354597478052895,YH13,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000470,3.3868109464722167,SW1463,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000471,3.4620523187964327,LI7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000472,4.898692072560488,HSC2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000473,4.274261661257048,RT112,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000475,0.4541758931858022,HUH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000476,3.7070829917717054,JHH4,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000477,3.326249700837456,MALME3M,Melanoma,Skin,Melanoma
ACH-000478,3.863938450423972,SNU387,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000479,6.058965822002304,KNS81,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000480,1.0285691521967708,HUH7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000481,2.769771739249448,NCIH2170,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000482,5.35860724911781,RERFLCKJ,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000483,5.38646609286931,SNU182,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000484,2.140778655782796,VMRCRCW,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000485,5.255123014847789,GSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000486,5.292413667827485,KU1919,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000487,6.73674015545321,F36P,Myelodysplastic Syndromes,Myeloid,Myelodysplastic Syndromes
ACH-000488,3.90977310414164,TE11,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000489,4.918386234446348,SW1116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000490,5.12350066435096,SF767,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000491,4.327687364176047,NCIH716,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000492,1.6040713236688608,MUTZ5,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000493,1.4750848829487828,SNU423,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000494,4.798050514767515,OELE,Non-Cancerous,Ovary/Fallopian Tube,Non-Cancerous
ACH-000495,4.307428525192247,TUHR4TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000496,4.624685810525398,NCIH1792,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000498,6.555356038635833,KO52,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000499,4.67072705449947,EW8,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000500,6.15623479785027,SNU46,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000501,6.31124879044183,LS123,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000502,5.433627167084783,TCCPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000503,2.5185351389821804,BICR16,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000504,5.09887428674445,SNB75,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000505,4.40667271575583,RKN,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000506,0.0840642647884745,NCIH146,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000507,4.083213368248981,KE39,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000508,1.459431618637297,CORL88,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000509,4.5777309314900805,HUT78,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000510,3.1618876823768938,NCIH1299,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
